ASIN,BBR,offer_changed_notification_id
B0006VK68E,0.18186115077698445,227604927.0
B0006ZJPFK,0.0,227612674.0
B00070KH5Q,0.03662098739046805,227614643.0
B00075M3W6,0.0,227615071.0
B00076ZDRC,0.0,227470225.0
B00076ZDT0,0.0,227208131.0
B00079WOZI,0.054488649262202045,227484531.0
B0007L8A3G,0.008531569965870307,227607522.0
B0007L8A7M,0.0,227596280.0
B0007LCKMS,0.0,227614025.0
B0007LCL90,0.14029135399673734,227349576.0
B0007LCLPE,0.0,227599380.0
B0007MU0SS,0.2645814648729447,227608319.0
B0007MZV3C,0.0,227604131.0
B0007VNZDG,0.7671647904785519,227562744.0
B0007VNZEK,0.768467864271457,227553349.0
B0007XTGCI,0.09107887662988967,227587511.0
B0007XXNSQ,0.0,227613316.0
B0007ZO6DK,0.6844218375499335,227612531.0
B0008F68MG,0.2936642967542504,227583793.0
B00097FKO0,0.7590111475409836,227145776.0
B00099Q28Q,0.0,227336409.0
B0009EJXHI,0.703707175925926,227423532.0
B0009EK49E,0.8704763231197771,227145596.0
B0009EP2S2,0.947757581967213,227317946.0
B0009H5BIA,0.06817882775119617,227583691.0
B0009H5KPO,0.0,227218478.0
B0009J5NSQ,0.0,227582691.0
B0009J5NV8,0.0,227572451.0
B0009JQRYA,0.0,227613570.0
B0009K9QUQ,0.0,227600500.0
B0009PVUQE,0.26677539936102235,227201830.0
B0009U5RDG,0.016291501416430595,227478148.0
B0009V7X00,0.0,227403568.0
B0009V89NK,0.9603900100835495,227612790.0
B0009WG2ZQ,0.07015218558282209,227546468.0
B0009WG30K,0.017765684575389948,227487022.0
B0009WG31E,0.09063247734138973,227568711.0
B0009WG33M,0.0,227583686.0
B000A13PGA,0.492722418817652,227608255.0
B000A239QK,0.743156,227612743.0
B000AMNGWM,0.4007737354085603,227614536.0
B000AMP94A,0.0,227614131.0
B000AMQC2I,0.07371629485935983,227614027.0
B000AMQC7S,0.957185531496063,227614648.0
B000AMUFPS,0.0,227557009.0
B000ARPH42,0.011035446595877577,227612612.0
B000ASB66O,0.0,227062091.0
B000AU9PBA,0.1290301075268817,227613139.0
B000AX24HE,0.5870747927031509,227538607.0
B000B5P9EQ,0.062188159203980097,227612049.0
B000BGM8D0,0.34727022590150136,227588709.0
B000BH7PXW,0.12807450058754408,227608259.0
B000BHB5WE,0.07162603305785124,227597592.0
B000BHHCDK,0.0,227611926.0
B000BKXE02,0.42356536810828654,227591108.0
B000BOKN52,0.0,227582641.0
B000BPGS2I,0.005740636042402827,227609549.0
B000BQKPJO,0.0,227607204.0
B000BQQ2NM,0.0,227591628.0
B000BQQ84U,0.008256759545923633,227437247.0
B000BQWWJK,0.19283782628262824,227603385.0
B000BR8UAE,0.03966597905426848,227600124.0
B000BR8UAO,0.06720832724616509,227571062.0
B000BRA6OW,0.16734469387755102,227399682.0
B000BROATE,0.3393357326478149,227469294.0
B000BTDKLQ,0.3590764478764479,227463877.0
B000BUNKJ2,0.04656133133881825,227613299.0
B000BUTD9I,0.6827765968867417,227583249.0
B000BWR7RG,0.8738310756972111,227612811.0
B000BWY878,0.24027065269175799,227533410.0
B000BX1JQU,0.24868622502628812,227609601.0
B000BX4VHE,0.18092442588726515,227596832.0
B000BYCC0G,0.0,227529544.0
B000COC67O,0.12720732087227413,227425230.0
B000CODPFG,0.17442958161461403,227607381.0
B000CPCBM8,0.4475165745856354,227613212.0
